State,Year,Sex,Spec_Nd,Age_Bin,Race,Adopted,Numbers

Alabama,2004,boy,specNo,under9,white,notAdopted,187

Alabama,2004,boy,specNo,under9,white,adopted,1517

Alabama,2004,boy,specNo,under9,black,notAdopted,163

Alabama,2004,boy,specNo,under9,black,adopted,417

Alabama,2004,boy,specNo,under9,hispanic,notAdopted,5

Alabama,2004,boy,specNo,under9,hispanic,adopted,299

Alabama,2004,boy,specNo,under9,other,notAdopted,10

Alabama,2004,boy,specNo,under9,other,adopted,218

Alabama,2004,boy,specNo,over9,white,notAdopted,221

Alabama,2004,boy,specNo,over9,white,adopted,315

Alabama,2004,boy,specNo,over9,black,notAdopted,237

Alabama,2004,boy,specNo,over9,black,adopted,121

Alabama,2004,boy,specNo,over9,hispanic,notAdopted,4

Alabama,2004,boy,specNo,over9,hispanic,adopted,55

Alabama,2004,boy,specNo,over9,other,notAdopted,3

Alabama,2004,boy,specNo,over9,other,adopted,42

Alabama,2004,boy,specYes,under9,white,notAdopted,0

Alabama,2004,boy,specYes,under9,white,adopted,5319

Alabama,2004,boy,specYes,under9,black,notAdopted,1

Alabama,2004,boy,specYes,under9,black,adopted,4795

Alabama,2004,boy,specYes,under9,hispanic,notAdopted,0

Alabama,2004,boy,specYes,under9,hispanic,adopted,2579

Alabama,2004,boy,specYes,under9,other,notAdopted,0

Alabama,2004,boy,specYes,under9,other,adopted,1501

Alabama,2004,boy,specYes,over9,white,notAdopted,1

Alabama,2004,boy,specYes,over9,white,adopted,2564

Alabama,2004,boy,specYes,over9,black,notAdopted,6

Alabama,2004,boy,specYes,over9,black,adopted,2609

Alabama,2004,boy,specYes,over9,hispanic,notAdopted,0

Alabama,2004,boy,specYes,over9,hispanic,adopted,884

Alabama,2004,boy,specYes,over9,other,notAdopted,0

Alabama,2004,boy,specYes,over9,other,adopted,582

Alabama,2004,girl,specNo,under9,white,notAdopted,148

Alabama,2004,girl,specNo,under9,white,adopted,1564

Alabama,2004,girl,specNo,under9,black,notAdopted,150

Alabama,2004,girl,specNo,under9,black,adopted,484

Alabama,2004,girl,specNo,under9,hispanic,notAdopted,7

Alabama,2004,girl,specNo,under9,hispanic,adopted,297

Alabama,2004,girl,specNo,under9,other,notAdopted,9

